band5,band6,band7,band8,class
255,228,197,167,cloud
255,232,201,169,cloud
255,233,204,169,cloud
255,231,203,169,cloud
255,231,205,169,cloud
255,232,206,172,cloud
255,241,212,180,cloud
255,255,224,190,cloud
255,255,230,191,cloud
255,255,230,191,cloud
255,255,231,194,cloud
255,255,231,192,cloud
255,255,221,184,cloud
255,244,216,180,cloud
255,236,209,172,cloud
255,226,201,167,cloud
255,219,194,160,cloud
238,215,192,157,cloud
227,210,187,152,cloud
212,193,171,138,cloud
192,170,150,125,cloud
185,167,145,122,cloud
178,155,129,104,cloud
185,163,139,111,cloud
196,175,152,120,cloud
210,187,161,130,cloud
221,195,167,134,cloud
215,189,161,130,cloud
209,184,155,126,cloud
201,176,148,120,cloud
197,173,151,124,cloud
207,183,159,132,cloud
222,193,166,137,cloud
231,204,175,146,cloud
249,214,184,154,cloud
255,223,194,161,cloud
255,227,199,163,cloud
255,223,193,160,cloud
255,219,191,159,cloud
255,221,192,159,cloud
255,226,196,164,cloud
255,238,208,174,cloud
255,251,220,181,cloud
255,254,226,186,cloud
255,255,225,187,cloud
255,254,223,188,cloud
255,254,223,187,cloud
255,246,214,179,cloud
255,239,208,172,cloud
255,231,203,167,cloud
255,223,198,163,cloud
231,213,188,157,cloud
229,210,186,155,cloud
228,208,182,151,cloud
217,195,172,140,cloud
201,179,157,130,cloud
194,175,153,129,cloud
171,148,124,97,cloud
179,155,130,106,cloud
194,165,138,115,cloud
205,178,146,118,cloud
202,177,148,118,cloud
198,174,148,116,cloud
190,166,141,116,cloud
192,169,148,124,cloud
206,180,157,130,cloud
212,187,161,135,cloud
222,199,170,145,cloud
239,207,179,148,cloud
249,215,187,154,cloud
255,219,191,160,cloud
255,213,185,156,cloud
255,212,185,155,cloud
254,215,186,154,cloud
255,220,191,159,cloud
255,229,201,167,cloud
255,236,209,173,cloud
255,247,215,179,cloud
255,251,215,181,cloud
255,245,214,180,cloud
255,245,215,177,cloud
255,235,207,168,cloud
255,226,198,162,cloud
254,222,196,163,cloud
252,218,191,159,cloud
227,207,181,151,cloud
225,207,179,148,cloud
223,204,178,144,cloud
211,190,166,134,cloud
203,181,157,128,cloud
199,178,156,130,cloud
159,135,105,82,cloud
167,148,119,89,cloud
176,155,129,98,cloud
183,159,136,107,cloud
187,161,137,111,cloud
185,160,136,112,cloud
192,168,144,119,cloud
205,181,155,128,cloud
212,188,162,135,cloud
223,198,172,142,cloud
224,201,175,142,cloud
225,202,174,146,cloud
255,210,183,153,cloud
243,210,182,151,cloud
254,212,186,153,cloud
255,212,185,153,cloud
251,213,187,157,cloud
255,219,195,164,cloud
255,225,198,166,cloud
255,233,200,169,cloud
255,239,204,169,cloud
255,238,208,168,cloud
255,234,206,166,cloud
255,220,192,157,cloud
244,208,180,149,cloud
234,210,180,150,cloud
235,210,182,151,cloud
220,199,173,143,cloud
212,192,168,137,cloud
211,191,168,135,cloud
200,179,158,128,cloud
193,173,150,122,cloud
195,176,151,124,cloud
134,116,93,68,cloud
147,127,105,81,cloud
161,139,115,93,cloud
174,148,123,102,cloud
181,156,130,107,cloud
189,166,139,114,cloud
200,176,150,121,cloud
208,183,158,128,cloud
216,190,164,135,cloud
220,193,163,134,cloud
221,193,163,138,cloud
239,205,177,146,cloud
228,206,179,146,cloud
246,208,180,149,cloud
252,209,183,152,cloud
233,208,182,151,cloud
255,213,182,149,cloud
246,214,181,146,cloud
243,216,183,148,cloud
244,218,190,151,cloud
248,220,191,154,cloud
255,217,188,154,cloud
241,205,175,143,cloud
216,192,162,134,cloud
213,193,164,137,cloud
219,199,173,139,cloud
209,190,169,135,cloud
197,178,157,126,cloud
197,176,151,123,cloud
193,170,144,116,cloud
186,165,139,115,cloud
187,168,143,120,cloud
130,109,87,70,cloud
143,120,93,74,cloud
154,135,108,85,cloud
168,149,124,97,cloud
180,159,136,109,cloud
188,165,141,112,cloud
194,168,143,116,cloud
206,176,150,123,cloud
207,181,152,125,cloud
205,184,157,130,cloud
217,196,171,137,cloud
221,199,175,141,cloud
224,200,176,145,cloud
231,203,177,146,cloud
227,202,169,141,cloud
231,197,161,130,cloud
214,190,160,124,cloud
210,187,160,124,cloud
212,189,164,133,cloud
223,196,170,142,cloud
230,200,169,139,cloud
